"cancer_type" "species" "correlation"
"uterine" "Ammotragus_lervia" 0.19992328040583
"all" "Anoura_caudifer" 0.210293162869683
"bladder" "Anoura_caudifer" 0.233115077922439
"breast" "Anoura_caudifer" 0.184962550970292
"central nervous system" "Anoura_caudifer" 0.174165505488327
"colon" "Anoura_caudifer" 0.218484458833991
"colorectal" "Anoura_caudifer" 0.216957751609158
"endometrial" "Anoura_caudifer" 0.150398054439381
"gastric" "Anoura_caudifer" 0.178614479481348
"glioma" "Anoura_caudifer" 0.243248850462433
"head and neck" "Anoura_caudifer" 0.200803944172868
"hepatocellular" "Anoura_caudifer" 0.201589244719328
"intestine" "Anoura_caudifer" 0.181821545537842
"kidney" "Anoura_caudifer" 0.22639886216472
"leukaemia" "Anoura_caudifer" 0.136432510018418
"liver" "Anoura_caudifer" 0.218738707425787
"lung" "Anoura_caudifer" 0.263768399654388
"lymphoma" "Anoura_caudifer" 0.189987727404699
"melanoma" "Anoura_caudifer" 0.26558807731606
"mesothelioma" "Anoura_caudifer" 0.378104197462113
"oesophagus" "Anoura_caudifer" 0.119893804949774
"other tumour types" "Anoura_caudifer" 0.287589220309345
"ovarian" "Anoura_caudifer" 0.202039563891529
"paediatric" "Anoura_caudifer" 0.342146685597657
"pancreas" "Anoura_caudifer" 0.187671391605612
"prostate" "Anoura_caudifer" 0.16828973068018
"rare other tumour types" "Anoura_caudifer" -0.0398697370258642
"renal" "Anoura_caudifer" 0.149771758768178
"sarcoma" "Anoura_caudifer" 0.236008116097235
"skin" "Anoura_caudifer" 0.189034616448181
"small intestine" "Anoura_caudifer" 0.198949151823295
"soft tissue sarcoma" "Anoura_caudifer" 0.125035638844148
"testicular" "Anoura_caudifer" 0.199171416039195
"thyroid" "Anoura_caudifer" 0.258497301200364
"urothelial" "Anoura_caudifer" 0.252973831347478
"uterine" "Anoura_caudifer" 0.170363161698346
"all" "Antilocapra_americana" 0.210249423519426
"bladder" "Antilocapra_americana" 0.224602832638228
"breast" "Antilocapra_americana" 0.177850937634385
"central nervous system" "Antilocapra_americana" 0.167413798026775
"colon" "Antilocapra_americana" 0.244256229312766
"colorectal" "Antilocapra_americana" 0.217368037868492
"endometrial" "Antilocapra_americana" 0.16121884429716
"gastric" "Antilocapra_americana" 0.205758653896957
"glioma" "Antilocapra_americana" 0.201165039676728
"head and neck" "Antilocapra_americana" 0.21722324059418
"hepatocellular" "Antilocapra_americana" 0.231847611003592
"intestine" "Antilocapra_americana" 0.195211578761841
"kidney" "Antilocapra_americana" 0.309952493184549
"leukaemia" "Antilocapra_americana" 0.127968461273405
"liver" "Antilocapra_americana" 0.247697919014743
"lung" "Antilocapra_americana" 0.265110147511041
"lymphoma" "Antilocapra_americana" 0.196226514974673
"melanoma" "Antilocapra_americana" 0.26617878398254
"mesothelioma" "Antilocapra_americana" 0.239937803499593
"oesophagus" "Antilocapra_americana" 0.1791831924364
